"Version","Class","Domain","Variable Order","CDASH Variable","CDASH Variable Label","DRAFT CDASH Definition","Domain Specific","Question Text","Prompt","Type","SDTM Target","Mapping Instructions","Controlled Terminology Codelist Code","Implementation Notes"
"CDASH Model v1.3","Interventions",,"1","--YN","Any [Intervention]","An indication whether or not data were collected for the intervention topic.",,"Has the subject had any [intervention topic(s)] (after/before) [study-specific time frame] (after/before [study-specific time frame] )?; [Was/Were] (there) any [intervention topic(s)] [taken/performed/used/collected] (after/before) [study-specific time frame]?","Any [Intervention Topic]","Char",,"Does not map to an SDTM variable. The SDTM annotated CRF indicates that this field is NOT SUBMITTED.","C66742","General prompt question to aid in monitoring and data cleaning. This provides verification that all other fields on the CRF were deliberately left blank. This is a field that can be used on any Interventions CRF to indicate whether or not there are data to record."
"CDASH Model v1.3","Interventions",,"2","--TRT","Name of Treatment","The topic for the intervention observation, usually the reported name of the treatment, drug, medicine, or therapy given during the dosing interval for the observation.",,"What [is/was] the (type of) [treatment/investigational product/intervention topic]?; [If Other is selected], [explain/specify/provide more details].","[Treatment/Investigational Product/Intervention Name]; [Specify Other/Explain/Specify Details] [Treatment/Investigational Product/Intervention Name]","Char","--TRT","Maps directly to the SDTM variable listed in the SDTM Target column.","","If --TRT is preprinted/ prespecified, the value should also be mapped into the --TRT variable (e.g., if Oral Steroid is preprinted on a CM CRF, ""Oral Steroid"" should be stored in CMTRT). The CDASH field --TRT can also be used to collect any free-text values linked to the sponsor standardized value collected in the CDASH field --DECOD. For example, the CDASH field --DECOD may have a value of ""OTHER"" and the associated free-text intervention topic is collected in the CDASH field --TRT. In this scenario, the Item prompt ""Specify Other"" may be used."
"CDASH Model v1.3","Interventions",,"3","--DECOD","Standardized Treatment Name","The dictionary or sponsor-defined standardized text description of the topic variable, --TRT, or the modified topic variable (-- MODIFY), if applicable.",,"What [is/ was] the [treatment/intervention topic]?","[Intervention Topic]","Char","--DECOD","Maps directly to the SDTM variable listed in the SDTM Target column.","","When populated by a coding dictionary (e.g., WHO Drug, MedDRA), Question Text and Prompt are not applicable. WHO Drug may be used for coding treatment names and MedDRA may be used for coding procedures. When these dictionaries are used, --DECOD is equivalent to those dictionaries' Preferred Term. The CDASH field --DECOD may be used to collect standardized prespecified values (CDISC Controlled Terminology or sponsor-defined) on a CRF. The CDASH field --TRT can be used to collect any free-text values linked to the sponsor standardized value. For example, the CDASH field --DECOD may have a value of ""OTHER"" and the associated free-text intervention topic is collected in CDASH field --TRT."
"CDASH Model v1.3","Interventions",,"4","--MOOD","Mood","The mode or condition of the record that specifies whether the intervention (activity) is intended to happen or has happened.",,"Does this record describe scheduled treatment or performed treatment?","[Scheduled/Performed]","Char","--MOOD","Maps directly to the SDTM variable listed in the SDTM Target column.","C125923","""SCHEDULED"" is used when collecting subject-level intended dose records. ""PERFORMED"" is used when collecting subject-level actual dose records. This would most commonly be a heading on the CRF and not a question to which the site would provide an answer. If collecting both scheduled and performed dosing in the same horizontal record, the sponsor may append ""_SCHEDULED"" to the variable name to capture the scheduled dose."
"CDASH Model v1.3","Interventions",,"5","--CAT","Category","A grouping of topic-variable values based on user-defined characteristics.",,"What [is/was] the category (of the [intervention])?","[Category/Category Value]; NULL","Char","--CAT","Maps directly to the SDTM variable listed in the SDTM Target column.","","Sponsor-defined controlled terminology. This would most commonly be a heading on the CRF or screen, not a question to which the site would provide an answer. If a question is asked, the response would typically come from a sponsor-defined codelist. If the form is laid out as a grid, then words such as ""Category"" can be included as the column header. See examples in the CDASHIG metadata table and in the SDTMIG."
"CDASH Model v1.3","Interventions",,"6","--SCAT","Subcategory","A subdivision of the --CAT values based on user-defined characteristics.",,"What [is/was] the subcategory (of the [intervention])?","[Subcategory/Subcategory Value]; NULL","Char","--SCAT","Maps directly to the SDTM variable listed in the SDTM Target column.","","Sponsor-defined controlled terminology. This would most commonly be a heading on the CRF or screen, not a question to which the site would provide an answer. --SCAT can only be used if there is a --CAT. If a question is asked, the response would typically come from a sponsor-defined codelist. If the form is laid out as a grid, then words such as ""Subcategory"" can be included as the column header. See examples in the CDASHIG metadata table and in the SDTMIG."
"CDASH Model v1.3","Interventions",,"7","--PRESP","Pre-Specified Intervention","An indication that a specific intervention or a group of interventions is prespecified on a CRF.",,,,"Char","--PRESP","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742","For prespecified interventions, a hidden field on a CRF may be defaulted to Y, or added during SDTM dataset creation. If a study collects both prespecified and free-text interventions, the value of --PRESP should be ""Y"" for all prespecified interventions and null for interventions reported as free text."
"CDASH Model v1.3","Interventions",,"8","--OCCUR","Occurrence","An indication that the prespecified intervention happened or was administered when information about the occurrence of the specific intervention is solicited.",,"Was [--TRT/ intervention] [taken/performed/administered/consumed] (after/before [study-specific time frame])?;Has the subject [had/taken/performed/administered/consumed] the [--TRT/ intervention]?","[--TRT/ Intervention] [Had/Taken/Performed/Administered/Consumed]","Char","--OCCUR","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742","Used for specific interventions that are collected as defined by the protocol. If the term is preprinted/prespecified, the value should also be mapped into the --TRT variable (e.g., if Oral Steroid is preprinted on a CM CRF, ""Oral Steroid"" should be stored in CMTRT). The CDASH field --OCCUR is not used for spontaneously free-text reported --TRT. Should not be used to indicate data were not collected. Used only when the value can be collected using values from the CDISC CT (NY) codelist. --OCCUR is a Yes/No variable and in the SDTM submission datasets, --OCCUR is populated only for the records where --PRESP is ""Y"" and is null when --PRESP is null."
"CDASH Model v1.3","Interventions",,"9","--PERF","[Observation] Performed","The variable used to indicate whether data are available, by having the site recording the value as ""Yes"" or ""No"".",,"(Were/Was) (the) [intervention topic] [answered/done/assessed/evaluated/available]?","([intervention topic]) [Answered/Done/Assessed/Evaluated/Available]","Char","--STAT","This field does not map directly to an SDTM variable. May be used to populate a value into the SDTM variable --STAT to indicate when a prespecified Intervention was not assessed. If the CDASH variable --PERF=""N"", the value of the STDM variable --STAT is ""NOT DONE"". If --PERF= ""Y"", --STAT is null.","C66742","Using --PERF, a negative response can be collected as ""N"" and mapped to the --STAT variable in SDTM as ""NOT DONE"". --PERF can be used instead of --STAT when a Y/N response list is needed for implementation. Examples: Were prior medications assessed? Were medications of interest assessed? \n"
"CDASH Model v1.3","Interventions",,"10","--STAT","Completion Status","The variable used to indicate that data are not available, by having the site recording the value as ""Not Done"".",,"Was the [intervention topic] not [answered/done/assessed/evaluated/available]?; Indicate if ([intervention topic] was) not [answered/done/assessed/evaluated/available].","Not [Answered/Done/Assessed/Evaluated/Available]","Char","--STAT","Maps directly to the SDTM variable listed in the SDTM Target column. If collected, the Origin (column in the Define-XML) = ""CRF""; if populated from other sources such as a free text or sponsor-defined listing for --REASND, the Origin =""DERIVED"".","C66789","The value of ""Not Done"" indicates either that data are not available or the question was not asked. Do not use this CDASH field when collecting information on whether or not a prespecified intervention was performed; this should be recorded using the CDASH field --OCCUR."
